,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
360,S028280,0.105,0,0.105,0.0,R_06,10000000
2,S008074,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
47,S015041,1.0362433800000002,1,2.18,52.4659,R_06_MSRR,10000000
48,S015042,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
49,S015043,0.121211955,1,0.255,52.4659,R_06_MSRR,10000000
55,S015184,2.92334715,1,6.15,52.4659,R_06_MSRR,10000000
56,S015199,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
57,S015200,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
58,S015201,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
59,S015202,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
63,S015313,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
64,S015314,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
65,S015315,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
66,S015316,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
67,S015317,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
68,S015318,0.030897165,1,0.065,52.4659,R_06_MSRR,10000000
73,S015349,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
76,S015477,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
77,S015478,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
78,S015479,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
79,S015480,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
94,S015924,0.95543541,1,2.01,52.46590000000001,R_06_MSRR,10000000
137,S018136,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
138,S018139,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
147,S019196,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
149,S019932,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
159,S020788,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
171,S022008,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
197,S024444,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
198,S024466,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
199,S024467,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
37,S012533,0.0002022,0,0.0002022,0.0,R_07,10000000
231,S021994,0.0002022,0,0.0002022,0.0,R_07,10000000
234,S021997,0.0002022,0,0.0002022,0.0,R_07,10000000
235,S021998,0.0002022,0,0.0002022,0.0,R_07,10000000
236,S021999,0.0002022,0,0.0002022,0.0,R_07,10000000
238,S022001,0.0002022,0,0.0002022,0.0,R_07,10000000
47,S013792,0.015,0,0.015,0.0,R_08,10000000
48,S013793,0.005,0,0.005,0.0,R_08,10000000
83,S015549,0.0002022,0,0.0002022,0.0,R_08,10000000
102,S015871,0.0002022,0,0.0002022,0.0,R_08,10000000
115,S016690,0.002872,0,0.002872,0.0,R_08,10000000
172,S018483,0.0002022,0,0.0002022,0.0,R_08,10000000
173,S018486,0.0002022,0,0.0002022,0.0,R_08,10000000
230,S021993,0.0002022,0,0.0002022,0.0,R_08,10000000
232,S021995,0.0002022,0,0.0002022,0.0,R_08,10000000
