USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09
A024569,L_23,279,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024644,L_24,280,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024688A,L_16_MSDC,281,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024688B,L_16_MSDC,282,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024706,L_23,283,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024761,L_18,284,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024782,L_16,289,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024783,L_24,290,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024817,L_28,292,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024827,L_21,293,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024865A01,L_18_MSRR,294,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024891,L_17_MSRR,298,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024892A,L_17_MSRR,299,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024892B,L_17_MSRR,300,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024905,L_17_MSRR,301,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024963,L_21_MSRR,305,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025010,L_17_MSRR,306,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025065,L_23,309,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025137,L_21,311,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025301,L_17_MSRR,314,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025325,L_18,315,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025623,L_17,322,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025674,L_21,323,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025773,L_24,324,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025831,L_21,326,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025869,L_24,327,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025939,L_17_MSRR,328,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A025964,L_14,330,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026113,L_21,332,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026228,L_21,333,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026440,L_16,339,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026442,L_16,340,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026503,L_23,341,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026561,L_16,342,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026624,L_14,343,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026740,L_27,344,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A026975,L_27,345,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027022,L_26,347,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027031,L_16,348,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027046,L_24,349,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027081,L_21,350,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027143,L_28,351,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027149,L_17_MSRR,352,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027249,L_21,354,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
