USER,BASIN,RIPARIAN,PRIORITY,2021-09_ALLOCATION,2021-09_DEMAND,2021-09_SHORTAGE,2108-09_%_SHORTAGE
A024300A,L_14,N,275,0,0,0,100%
A024544,L_16,N,278,0,0,0,100%
A024688A,L_16_MSDC,N,281,0,0,0,100%
A024688B,L_16_MSDC,N,282,0,0,0,100%
A024762A,L_17_MSRR,N,285,0,0,0,100%
A024762B,L_17_MSRR,N,286,0,0,0,100%
A024782,L_16,N,289,0,0,0,100%
A024891,L_17_MSRR,N,298,0,0,0,100%
A024892A,L_17_MSRR,N,299,0,0,0,100%
A024892B,L_17_MSRR,N,300,0,0,0,100%
A024905,L_17_MSRR,N,301,0,0,0,100%
A025010,L_17_MSRR,N,306,0,0,0,100%
A025021,L_17_MSRR,N,308,0,0.017,0.02,100%
A025125,L_16,N,310,0,0,0,100%
A025301,L_17_MSRR,N,314,0,0,0,100%
A025363,L_17_MSRR,N,316,0,0.000256,0,100%
A025367,L_17,N,317,0,0,0,100%
A025393A,L_17_MSRR,N,318,0,0,0,100%
A025393B,L_17_MSRR,N,319,0,0,0,100%
A025623,L_17,N,322,0,0,0,100%
A025939,L_17_MSRR,N,328,0,0,0,100%
A025964,L_14,N,330,0,0,0,100%
A025998,L_15,N,331,0,1.063333333,1.06,100%
A026233,L_17_MSRR,N,334,0,0.598207,0.6,100%
A026298A,L_17,N,337,0,0.064,0.06,100%
A026440,L_16,N,339,0,0,0,100%
A026442,L_16,N,340,0,0,0,100%
A026561,L_16,N,342,0,0,0,100%
A026624,L_14,N,343,0,0,0,100%
A027031,L_16,N,348,0,0,0,100%
A027149,L_17_MSRR,N,352,0,0,0,100%
A027478,L_17_MSRR,N,357,0,0,0,100%
A027479,L_17_MSRR,N,358,0,1.433333333,1.43,100%
A027702,L_16,N,359,0,0,0,100%
A027757,L_17,N,360,0,0,0,100%
A027953,L_15,N,362,0,0,0,100%
A028402,L_16,N,365,0,0,0,100%
A028878,L_16_MSDC,N,368,0,0.000685333,0,100%
A029333,L_18,N,375,0,2.67E-05,0,100%
A029397,L_17_MSRR,N,376,0,0,0,100%
A029405,L_17_MSRR,N,377,0,0,0,100%
A029462,L_17_MSRR,N,378,0,0.569552667,0.57,100%
A029502,L_18,N,379,0,0,0,100%
A029562,L_14,N,380,0,0,0,100%
D029507,L_16,N,382,0,0,0,100%
A029538,L_16,N,383,0,0,0,100%
A029610,L_18,N,384,0,0,0,100%
A029628,L_14,N,385,0,0,0,100%
A029671,L_17,N,386,0,0,0,100%
D029862,L_15,N,394,0,0,0,100%
C003979,L_17,N,395,0,0,0,100%
C003981,L_16,N,397,0,0,0,100%
A029986,L_16,N,398,0,0,0,100%
D030095,L_15,N,399,0,0,0,100%
A030173,L_16,N,403,0,0,0,100%
D030353,L_18,N,407,0,0,0,100%
A030391,L_17_MSRR,N,408,0,0,0,100%
D030601,L_17_MSRR,N,411,0,0.118121,0.12,100%
A030882,L_18,N,413,0,0,0,100%
A030797,L_14,N,416,0,0,0,100%
D030758,L_16,N,417,0,0,0,100%
A030933,L_16,N,421,0,0,0,100%
D031111,L_14,N,423,0,0,0,100%
D029831,L_16,N,424,0,0,0,100%
D031267,L_16,N,428,0,0,0,100%
A031304,L_14,N,429,0,0,0,100%
A031362,L_14,N,431,0,0,0,100%
D031555,L_18,N,435,0,0,0,100%
D031569,L_16,N,437,0,0,0,100%
D031651,L_18,N,441,0,0,0,100%
D031681,L_15,N,443,0,0,0,100%
D031803,L_15,N,453,0,0,0,100%
L031802,L_14,N,454,0,0,0,100%
D032058,L_16,N,459,0,0,0,100%
D032062,L_24_LSR,N,460,0,0,0,100%
D032138,L_23,N,461,0,0,0,100%
D032149,L_24,N,462,0,0,0,100%
D032166,L_24,N,463,0,0,0,100%
D032229,L_21,N,465,0,0,0,100%
D032275,L_18,N,466,0,0,0,100%
D032320,L_20,N,467,0,0.003759667,0,100%
H032335,L_14,N,468,0,0,0,100%
D032464,L_18,N,469,0,0,0,100%
D032534,L_16,N,471,0,0.04143,0.04,100%
D032768,L_21,N,472,0,0,0,100%
D032188,L_24,N,473,0,0,0,100%
D032713,L_18,N,474,0,0,0,100%
D032725,L_16,N,475,0,0,0,100%
L032735,L_16,N,476,0,0,0,100%
D032787,L_20,N,477,0,0.0152,0.02,100%
D032850,L_23,N,478,0,0,0,100%
D032708,L_18_MSRR,N,479,0,0,0,100%
H501560,L_20,N,480,0,0.0230165,0.02,100%
H501640,L_27,N,482,0,0,0,100%
H501475,L_20,N,483,0,0,0,100%
H504162,L_20,N,487,0,0,0,100%
H506517,L_24,N,488,0,0,0,100%
H509254,L_14,N,491,0,0,0,100%
H508968,L_14,N,492,0,0,0,100%
A026298B,L_18,N,338,0.639432,2.777333333,2.14,77%
A031567,L_21,N,436,0.503749,0.735495667,0.23,32%
S015825,L_24,N,16,0.0133333,0.013333333,0,0%
S009054,L_21_MSRR,N,21,20.5233,20.52333333,0,0%
S028355,L_20,N,12,0.217682,0.217682315,0,0%
A006926,L_24,N,35,0.0238093,0.023809333,0,0%
A019470,L_21_MSRR,N,171,0.182885,0.18288519,0,0%
A020634,L_23,N,201,0.333333,0.333333333,0,0%
A022523,L_21,N,240,0.353733,0.353733333,0,0%
A031055,L_21_MSRR,N,422,4.3767,4.376703667,0,0%
S009055,L_19_MSRR,N,19,46.8633,46.86333333,0,0%
A031257,L_21_MSRR,N,427,0.612333,0.612333333,0,0%
A024929,L_21_MSRR,N,303,67.3733,67.37333333,0,0%
S009073,L_21,N,23,5.06713,5.0671315,0,0%
