USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09,2021-11
S018222,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.796666667,1.646666667,1.383333333,1.13,0.57,0.00099
S016067,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.169186667,0.183197333,0.361258,0.888323,0.654947667,0.00099
S016047,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.000333333,0.577455333,0.423075667,0.820194,0.723866,0.00099
S022466,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.235076667,0.572701,0.929528,1.10109,0.799084667,0.00099
S014925,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.533333333,0.2,0.533333333,0.833333333,0.00099
S016049,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.269497333,0.00307,0.332434667,0.392605333,0.912327333,0.00099
S016048,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.5,1,1,1,1,0.273333333
S016038,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.346327667,0.407582333,0.885235667,0.993141,1.087593,0.00099
S015828,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.114666667,0.531666667,0.752,1.296666667,1.09,0.00099
S024495,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.161,0.093,0.145,0.145,1.225,0.158355
S016056,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.041714333,0.080286667,0.535536,0.782462667,1.284296,0.00099
S016046,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.266917,0.301268667,0.881021333,0.940353,1.339271,0.00099
S016057,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.237289,0.170455333,0.603872,0.593614667,1.486719,0.00099
S019384,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.21,0.926666667,1.276666667,1.51,1.543333333,0.258590667
S018225,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,1.403333333,3.07,3.543333333,2.293333333,1.653333333,0.00099
S016050,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.066554,0.312503667,0.556351,1.697013333,0.00099
S025305,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,2.1,1.933333333,5.033333333,3,1.1
S023513,L_17,10000000,Statement of Div and Use,Y,N,N,2.153333333,0.00099,0.00099,0.00099,0.00099,0.00099
S015862,L_17,10000000,Statement of Div and Use,Y,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099,0.00099
S002378,L_17,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S023512,L_17,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.9
S023514,L_17,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S023515,L_17,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.107051
S025553,L_17,10000000,Statement of Div and Use,Y,N,N,0.206715,0.168865333,0.157574,0.195993667,0.245199,0.113333333
S023678,L_17,10000000,Statement of Div and Use,Y,N,N,0.156666667,1.4,1.843333333,1.34,0.966666667,0.00099
S014926,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.306666667
S014927,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S014928,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.766666667
S014930,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.4
S014931,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,1.1
S015334,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S015474,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S017033,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S017037,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.1
S022017,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S025479,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S025484,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S025485,L_17_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,10.13
S017036,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,1.92,0.00099,0.00099,0.033333333
S016680,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.233333333,0.633333333,0.366666667,0.00099,1.066666667
